 Gene ID,Gene Name,DesignElementAccession,wt_A_sucrose,wt_B_sucrose,wt_C_sucrose,wt_72h_MS_1,wt_72h_MS_2,wt_72h_MS_3,'sucrose; 1 percent' vs 'none' in 'wild type'.p-value,'sucrose; 1 percent' vs 'none' in 'wild type'.t-statistic,'sucrose; 1 percent' vs 'none' in 'wild type'.log2foldchange
AT1G16070,TULP8,261840_at,5.152087157,5.953371432,5.171914156,4.768950723,5.221313256,4.891332282,0.11034682,2.01998137,0.5
AT1G16080,,261793_at,9.722230784,9.958726531,9.437722008,9.064272375,9.29940901,9.143908327,0.018749457,3.514089433,0.5
AT1G16090,WAKL7,261836_at,4.776581511,5.051738731,5.080805048,4.514355381,5.307497797,4.256346406,0.352881329,1.097866046,0.3
AT1G16130,WAKL2,257478_at,3.900337342,3.875721816,3.769313896,4.776611009,4.225659393,3.953507264,0.071206497,-2.366462314,-0.5
AT1G16150,WAKL4,257479_at,4.969611743,4.683089603,4.649808343,4.981186159,4.596943355,4.954323008,NA,-0.511380961,-0.1
AT1G16160,WAKL5,261842_at,3.733259655,3.845484991,3.855092387,4.529032289,4.123189523,4.924711004,0.015212833,-3.717366859,-0.7
AT1G16170,,261791_at,8.317471757,8.152269351,8.191569211,8.800138768,9.170644838,8.508820694,0.018040214,-3.552495567,-0.6
AT1G16180,,261843_at,10.55657383,10.53805338,10.75919522,10.78277829,10.56951949,10.65121628,NA,-0.418377941,0
AT1G16190,RAD23A,262708_at,6.562197198,6.639547306,6.737110902,6.152338324,6.075878543,6.36507886,0.015699751,3.68690478,0.4
AT1G16210,,262710_at,8.946211928,8.974419921,8.516347152,9.22330073,8.773843591,9.268793099,0.208546555,-1.522906501,-0.3
AT1G16220,,262702_at,4.62406253,4.759602871,4.652148472,4.256574361,4.166468437,4.647915629,0.088160057,2.196847133,0.3
AT1G16240,SYP51,262709_at,9.453624207,9.308531307,9.353943093,10.42352085,10.1484287,10.14826178,0.001162874,-7.111461147,-0.9
AT1G16260,WAKL8,262705_at,6.910151025,6.65434365,6.638256819,7.778541564,7.541377135,7.703948062,0.000993981,-7.414994902,-0.9
AT1G16280,RH36,262706_at,7.04543776,7.356743918,7.030352689,5.869203897,5.679991569,6.28342485,0.001368699,6.812161633,1.2
AT1G16290,,262707_at,3.922520272,3.863343197,4.044914373,3.959691709,4.254899438,4.015187206,NA,-1.075277139,-0.1
AT1G16310,MTP10,262751_at,5.491011218,5.742479606,5.562527887,4.123385815,4.153095918,4.065878851,0.000168302,13.05360103,1.5
AT1G16330,CYCB3;1,262752_at,6.354624437,6.290373186,5.969344756,5.485157468,6.107103241,5.684547963,0.065004458,2.440794196,0.4
AT1G16340,ATKDSA2,262753_at,8.157341606,8.00752429,8.078296118,7.362836641,7.598745297,7.951210167,0.041796625,2.796460937,0.4
AT1G16350,,262754_at,9.675751251,9.815206415,9.57193257,8.651477857,8.865088852,8.976249,0.001551178,6.61616167,0.9
AT1G16360,,262755_at,3.591956354,3.733183129,3.629458587,3.899417398,3.966506598,3.854687306,NA,-2.406614518,-0.3
AT1G16370,Oct-06,262756_at,6.032166846,5.847238003,5.91742947,6.230395468,6.281266545,6.452888222,0.022324141,-3.348084609,-0.4
AT1G16380,CHX1,262757_at,3.575256633,3.807474077,3.742542286,3.732733267,3.784140561,3.965412608,NA,-0.982844261,-0.1
AT1G16390,Oct-03,262730_at,8.65565915,8.374726881,8.71275296,7.574661673,8.036462336,7.963661562,0.006968964,4.54178071,0.7
AT1G16420,AMC8,262731_at,3.276452557,3.218005677,3.101516522,3.141364817,3.146729521,3.160162551,NA,0.465768969,0
AT1G16440,RHS3,262732_at,4.797786431,4.5958444,4.724663313,4.511769584,4.511500778,4.766094521,NA,0.891964803,0.1
AT1G16460,STR2,262712_at,8.818391823,8.84507832,8.839826062,8.783063941,8.612932568,8.697062161,NA,1.29913896,0.1
AT1G16470,PAB1,262716_at,9.004956793,9.065146829,9.271303622,8.948785525,9.007167088,8.901315313,NA,1.387994376,0.2
AT1G16480,,262701_at,5.103926032,5.276163708,5.314363706,4.987034267,4.769673072,4.881656673,0.033326056,2.990604888,0.4
AT1G16490,MYB58,262715_at,3.510302751,3.494039646,3.741226553,3.340807785,3.471464274,3.435813236,NA,1.414683415,0.2
AT1G16500,,262711_at,6.590136257,6.651802488,6.604256142,6.26325927,6.433052796,6.711495176,NA,1.076607541,0.1
AT1G16510,SAUR41,262703_at,5.894904033,5.307677098,5.413831564,6.988000245,6.08197204,6.380459325,0.013543754,-3.830091092,-0.9
AT1G16520,,262713_at,7.727885292,7.868193473,7.414197456,7.099664682,6.743270083,7.36368007,0.025322006,3.232325465,0.6
AT1G16530,LBD3,262704_at,4.546578369,4.715781353,4.42836171,4.500210871,4.668286187,4.496111289,NA,0.071400728,0
AT1G16540,SIR3,246325_at,5.151273127,5.006982576,5.148058414,5.547705037,4.907975945,5.240150315,0.506147509,-0.779492872,-0.1
AT1G16560,,246320_at,8.554855792,8.510350036,8.603145797,8.415362602,8.588349037,8.410494803,NA,0.77672759,0.1
AT1G16570,,246351_at,8.372478265,8.281446988,8.193977734,8.810268628,8.415314413,8.673510335,0.051255873,-2.629501192,-0.4
AT1G16590,REV7,246326_at,4.592561797,4.753177542,4.821402273,4.865443009,4.83817497,5.192572326,NA,-1.786934845,-0.2
AT1G16610,SR45,246324_at,7.68072446,7.741513944,7.75039377,7.768443435,7.654094461,7.908214138,NA,-0.466766776,-0.1
AT1G16640,,246321_at,3.697812132,3.50983773,3.521953389,3.460467466,3.550169965,3.553303457,NA,0.501390406,0.1
AT1G16650,,246350_at,6.130326911,6.07018412,6.261103244,6.58315359,6.32200751,6.328957175,NA,-2.098974131,-0.3
AT1G16670,CRPK1,246327_at,7.049975164,7.183376623,7.17741031,7.33543387,7.306051024,7.448383222,NA,-2.091298111,-0.2
AT1G16680,,246322_at,7.08867974,7.30970855,6.956015168,7.329095284,6.817944583,7.237601497,0.959586305,-0.061042565,0
AT1G16690,,246323_at,6.490445873,5.963318643,6.393021521,6.473131958,6.381547435,6.490677772,0.356719231,-1.088450531,-0.2
AT1G16705,,255768_at,3.813907306,3.767249257,3.486461287,3.445433146,3.95273362,3.790991627,NA,-0.251233701,0
AT1G16710,HAC12,255762_at,6.84954962,6.836236791,7.047186231,7.071191226,6.624795274,6.944354621,NA,0.214006676,0
AT1G16720,HCF173,255764_at,10.42996764,10.26728411,10.3139324,11.60977301,11.22930838,10.90006879,0.004427531,-5.10903381,-0.9
